Summary,Description,Issue Type,Labels
"Introduce Task as First-Class Entity","System introduces a Task object as the primary unit of work, replacing chat-centric flow","Story","architecture,core,tasks"
"Implement Decision Log for Tasks","Record all significant decisions made during task execution in an immutable log","Story","architecture,audit,tasks"
"Separate Conversation Layer from Task Layer","Decouple chat/messages from task execution so conversations are views of tasks rather than system state","Story","architecture,data-model"
"Implement Agent PTY Execution Environment","Each agent runs in a PTY allowing command execution and live output streaming","Story","agents,pty,execution"
"Add Secure Remote Mobile Access via QR Pairing","Enable secure remote access via QR code session pairing from mobile devices","Story","mobile,security,remote"
"Implement Team Hierarchy with Leads","Introduce Team Lead agents responsible for coordinating sub-agents","Story","agents,teams,hierarchy"
"Enable Human Join Team Mode","Allow user to join any team context to observe or interact in real time","Story","ui,teams,control"
"Implement Agent Mentions and Targeted Messaging","Support @agent mentions to direct messages or assign tasks explicitly","Story","agents,messaging"
"Add Agent Inclusion and Exclusion Controls","Allow dynamic inclusion/exclusion of agents per task or discussion","Story","agents,permissions,control"
"Implement Task-Based Work Assignment System","Structure all work as explicit tasks assigned to agents or teams","Story","tasks,workflow"
"Enable Multi-Agent Collaboration per Task","Agents collaborate within task context rather than global chat","Story","agents,collaboration,tasks"
"Implement Live Agent Status Dashboard","Provide real-time visibility of agent activity and status","Story","ui,monitoring,agents"
"Enable Model Switching Per Agent","Allow changing underlying model per agent dynamically","Story","agents,models"
"Implement Task History Replay","Allow replay of full task execution including messages and PTY output","Story","audit,debug,tasks"
"Add Conflict Resolution Between Agents","System resolves disagreement between agents via hierarchy or voting","Story","agents,coordination"
"Implement Scoped Agent Memory Per Task","Agents maintain memory scoped to tasks rather than global state","Story","memory,tasks,agents"
"Enable Task Branching and Experimentation","Allow tasks to fork into alternative implementation paths","Story","tasks,advanced"
"Implement Real-Time PTY Streaming","Stream PTY output live to UI","Story","pty,ui,realtime"
"Add Manual Intervention Controls","Allow user to pause, approve, or modify execution live","Story","control,pty,human-in-loop"
"Introduce Event-Driven Agent Triggers","Agents respond to system events rather than only chat messages","Story","agents,events"
"Implement Persistent Decision Store","Store global and task-level decisions for system-wide reference","Story","governance,memory"
"Enable Multi-Team Structure with Leads","Support multiple teams with hierarchical leads managing agents","Story","teams,hierarchy"
"Implement Mobile Mission Control Interface","Provide mobile UI for managing tasks, agents, and PTYs","Story","mobile,ui,control"
"Make Tasks System of Record","Ensure tasks are the central system entity replacing chat sessions","Story","architecture,core"
"Resolve Agent Conflicts","System resolves disagreement between agents via hierarchy or voting","Story","agents,coordination"
