Work Item Type,Title,Description,Acceptance Criteria,Tags
User Story,Introduce Task as First-Class Entity,"System introduces a Task object as the primary unit of work, replacing chat-centric flow.","Tasks can be created, updated, assigned; all agent activity is linked to a task; tasks persist history and state.","architecture;core-system;tasks"
User Story,Implement Decision Log for Tasks,"Record all significant decisions made during task execution in an immutable log.","Each task has decision history; decisions include author, timestamp, rationale; decisions are retrievable and auditable.","architecture;audit;tasks"
User Story,Separate Conversation Layer from Task Layer,"Decouple chat/messages from task execution so conversations are views of tasks rather than the system state.","Messages can be linked to tasks; tasks remain source of truth; conversations can be filtered by task/team/agent.","architecture;data-model"
User Story,Implement Agent PTY Execution Environment,"Each agent runs in a PTY allowing command execution and live output streaming.","Agents can execute commands; PTY output is viewable in UI; user can interact with PTY directly.","agents;pty;execution"
User Story,Add Remote Mobile Access via Secure QR Pairing,"Enable secure remote access to system via QR code session pairing.","QR generates session token; phone can connect to session; access is authenticated and time-limited.","mobile;security;remote-control"
User Story,Implement Team Hierarchy with Leads,"Introduce Team Lead agents responsible for coordinating sub-agents.","Leads can assign tasks to agents; leads summarise progress; leads can be joined or overridden by user.","agents;hierarchy;teams"
User Story,Enable Human 'Join Team' Mode,"Allow user to join any team context and observe or interact in real time.","User can switch team context; view agent interactions; intervene in conversations or PTYs.","ui;teams;control"
User Story,Implement Agent Mentions and Targeted Messaging,"Support @agent mentions to direct messages or assign tasks explicitly.","@agent triggers direct routing; FYI messages do not trigger execution; agents distinguish addressed vs mentioned.","agents;messaging"
User Story,Add Agent Exclusion and Inclusion Controls,"Allow user to include/exclude agents from tasks or discussions dynamically.","Excluded agents do not receive messages; included agents are scoped per task or team.","control;agents;permissions"
User Story,Implement Task-Based Work Assignment System,"All work is structured as tasks assigned to agents or teams.","Tasks can be assigned, reassigned, tracked; tasks have lifecycle states.","tasks;workflow"
User Story,Enable Multi-Agent Collaboration per Task,"Agents collaborate within task context rather than global chat.","Agents see task context; collaboration is scoped; task state updates in real time.","agents;collaboration"
User Story,Implement Live Agent Status Dashboard,"Provide real-time visibility of agent activity and status.","Each agent shows current task, status, PTY state; updates reflect live execution.","ui;monitoring;agents"
User Story,Enable Model Switching Per Agent,"Allow changing underlying model for each agent dynamically.","Model can be swapped mid-task; changes do not break context; execution continues.","agents;models;flexibility"
User Story,Implement Task History Replay,"Allow replaying full task execution including messages and PTY output.","User can replay task timeline; includes decisions, messages, and execution logs.","audit;tasks;debugging"
User Story,Add Conflict Resolution Between Agents,"System handles disagreement between agents via hierarchy or voting.","Conflicts detected; resolved via lead, vote, or user intervention.","agents;coordination"
User Story,Implement Agent Memory Scoped to Tasks,"Agents maintain memory tied to tasks rather than global state.","Memory persists per task; agents recall prior decisions within task scope.","memory;tasks;agents"
User Story,Enable Task Branching and Experimentation,"Allow tasks to fork into alternative implementation paths.","Tasks can be cloned/branched; branches can be compared or merged.","advanced;tasks;experimentation"
User Story,Implement Real-Time PTY Streaming to UI,"Stream PTY output live to web and mobile UI.","PTY output updates in real time; user can view per-agent terminal stream.","pty;ui;realtime"
User Story,Add Manual Intervention Controls for Execution,"User can pause, approve, or modify agent execution live.","User can stop execution; approve commands; inject instructions.","control;pty;human-in-loop"
User Story,Introduce Event-Driven Agent Triggers,"Agents respond to system events rather than only chat messages.","Events include task updates, file changes, assignments; agents react accordingly.","architecture;agents;events"
User Story,Implement Persistent Organizational Decisions Store,"Store global and task-level decisions for future agent reference.","Agents can query decision history; decisions persist across sessions.","memory;governance;tasks"
User Story,Enable Multi-Team Structure with Leads,"Support multiple teams with hierarchical leads managing sub-agents.","Teams isolated; leads coordinate agents; user can switch/join teams.","teams;hierarchy;scaling"
User Story,Implement Mobile Mission Control Interface,"Provide mobile UI for managing tasks, agents, and PTYs.","User can view tasks, agents, PTYs; intervene remotely; approve actions.","mobile;ui;remote-control"
User Story,Add Task-Centric System of Record,"Make tasks the system of record instead of chat sessions.","All activity attaches to tasks; sessions are views; tasks persist state.","architecture;core-system"
